招募日期,公司名稱,職稱,產業別,地區,工作內容,薪資,科系要求,學歷要求,招募網址,Python,MySQL,MongoDB,Linux,Django,TensorFlow,Docker
2020/06/10,"俊華電子企業股份有限公司(ENFORCER, SECO-LARM)",美術編輯助理,消費性電子產品製造業,台北市信義區,"1.	產品使用手冊：協助線稿繪製。
2.	產品目錄：將產品照片及介紹編排成冊。
3.	產品平面廣告及EDM設計。
4.	產品照片修圖/合成/去背。
5.	產品攝影：單眼相機拍攝。
6.	產品包裝盒及內襯版型：設計+手工做樣。
7.	將產品照片及介紹上傳公司網站更新。
8.	具備3D透視圖形邏輯觀念及機構設計經驗尤佳。
9.	其他本公司交辦事項，如一般行政文書工作等。

※ 需熟悉影像編輯軟體，並能獨立作業，如不熟悉，請勿應徵。如：
   Photoshop, Illustrator, InDesign, Lightroom, CorelDRAW等。
※ 其他軟體如：Word, Excel, PowerPoint 等。
※ 如面試請攜帶作品，並需繪圖軟體上機考試。
※ 需具備美感；誠實積極、負責任肯學習。

◎ 應徵時請註明：應徵AL(Advance Level)或EL(Entry Level)。
AL：已有5-8年經驗者。薪30,000~35,000元。
EL：需受培訓者。薪26,000~30,000元。","月薪26,000~35,000元",['不拘'],專科以上,https://www.104.com.tw/job/6wol1,0,0,0,0,0,0,0
2020/06/10,Home Hotel_逸寬股份有限公司,Al sorriso西式料理-外場主管,旅館業,台北市大安區,"1.業務開發及接洽.
2.現場營運管理.
3.員工教育訓練規劃及執行.
4.具溝通協調能力佳.
5.具有西餐主管級三年以上資歷.",待遇面議,['不拘'],專科、大學,https://www.104.com.tw/job/6xury,0,0,0,0,0,0,0
2020/06/10,佐臻股份有限公司,AL-通路行銷規劃師,其他電子零組件相關業,新北市汐止區,"1.新商品的通路銷售與管理
2.新商品在通路的展示、銷售活動規劃與執行
3.通路輔銷品規劃
4.與產品/業務部門溝通協調通路的活動
5.保持與通路的溝通，並追蹤活動績效
",待遇面議,"['企業管理相關', '大眾傳播學相關', '市場行銷相關']",大學,https://www.104.com.tw/job/6sxmb,0,0,0,0,0,0,0
2020/06/10,"俊華電子企業股份有限公司(ENFORCER, SECO-LARM)",行政助理/文書編輯,消費性電子產品製造業,台北市信義區,"工作內容：
1. 文書處理、繕打、編輯排版，及資料彙整等作業。
2. 整理和歸檔紙本與電子文件。
3. 收發公文並處理會簽文件。
4. SOP文件製作與會辦
5. 熟各式表單製作，如：WORD、EXCEL等。 
6. 訪客接待、環境整理等庶務工作。
7. 協助同仁與主管間溝通聯繫。
8. 其他主管交辦事項。

◎ 履歷請註明：應徵AL(Advance Level)或EL(Entry Level)。
AL：已有5-8年經驗者。起薪範圍是31,000~36,000元。
EL：沒有經驗或需受培訓者。起薪範圍在26,000~31,000元。

任職要求：
1. 中文文筆流暢，文辭能力強，文思邏輯清晰。
2. 中文打字每分鐘50字以上，英文打字每分鐘40字以上。(履歷表上請註明慣用的中文輸入法)
3. 做事細心、個性謹慎、反應靈敏。
4. 對身心靈教育、中華傳統文化典籍有研究者尤佳。
5. 大學以上學歷，企管/文史/傳播/圖資管理/社科/哲學宗教相關科系者尤佳。
","月薪26,000~36,000元",['不拘'],大學以上,https://www.104.com.tw/job/6n3u7,0,0,0,0,0,0,0
2020/06/10,"俊華電子企業股份有限公司(ENFORCER, SECO-LARM)",行政文書秘書,消費性電子產品製造業,台北市信義區,"工作內容：
1. 文書處理、繕打、編輯排版，及資料彙整等作業。
2. 整理和歸檔高階主管紙本與電子文件。
3. 熟各式表單製作，如：WORD、EXCEL等。
4. 協助主管安排行程及食宿等庶務性工作。 
5. 訪客接待、私人聚會等事宜。
6. 協助同仁與主管間溝通聯繫。
7. 其他主管交辦事項。

任職要求：
1. 中文文筆流暢，文辭能力強，文思邏輯清晰。
2. 中文打字每分鐘50字以上，英文打字每分鐘40字以上。(履歷表上請註明慣用的中文輸入法)
3. 做事細心、個性謹慎、反應靈敏。
4. 對身心靈教育、傳統文化典籍有研究者佳。
5. 大學以上學歷，企管/文史/傳播/圖資管理/社科/哲學宗教相關科系者佳。
6. 具高階主管秘書或特助經驗尤佳。

◎ 應徵時請註明：應徵AL(Advance Level)或EL(Entry Level)。
AL：已有5-8年經驗者。起薪範圍是35,000~40,000元。
EL：沒有經驗或需受培訓者。起薪範圍在30,000~35,000元。
","月薪30,000~40,000元","['企業管理相關', '本國語文相關', '圖書管理相關']",大學以上,https://www.104.com.tw/job/6n2rv,0,0,0,0,0,0,0
2020/06/10,Home Hotel_逸寬股份有限公司,Al sorriso義式料理-早班外場服務人員PT(大安館),旅館業,台北市大安區,"1.早餐桌邊服務。
2.餐飲前置作業及善後處理。
3.上班時間:06:00~11:00。",時薪160~170元,['不拘'],專科、大學,https://www.104.com.tw/job/6xzrq,0,0,0,0,0,0,0
2020/06/09,岱稜科技股份有限公司,【擴廠儲備】IE工程師,光電產業,台南市麻豆區,"1. 各工站標準工時量測，優化及改善產線作業效率
2. 生產數據分析與擬訂改善方案，包含產能規劃、監控、提升
3. 效率分析與成本監控
4. 跨部門改善專案執行與流程整合

【我們是誰？】
岱稜科技？你可能沒聽過…但是你一定親手摸過岱稜的產品！
我們是全球三大燙金箔品牌及製造商，產品主要銷往歐美等全球60幾個國家，舉凡在Johnny Walker、L'Oréal、Chanel、Disney、Unilever等日用品及精品等包裝中都看得見岱稜燙金箔產品的應用，自2003年以來每年營收穩定成長10-20%

【你會在哪裡工作？】
台灣燙金箔研發及塗佈技術獨步全球，此職缺隸屬在企業流程整合處，你能善用自己過去的專業技能和溝通管理能力，努力為產線提供解決的方案，並持續優化品牌競爭力。

【身為岱稜人有哪些員工福利?】
1. 免費單人套房宿舍
2. 中秋跟端午共1個月全薪獎金、年中、年終、加班費另計
3. 除法定的員工勞健保外，公司全額支付員工團體保險保費(含壽險、住院醫療險等)，讓員工多一層保障
4. 定期舉辦員工家庭日、國外旅遊活動、藝文及康樂活動等員工休閒活動
5. 多元化的社團和紓壓空間：羽球、慢跑、瑜珈、拳擊有氧等社團活動、提供按摩服務，讓員工能釋放生活及工作上的壓力與疲勞
6. 健康管理：每年定期舉辦市值超過$4500的員工健檢，幫助同仁掌握個人健康狀況；並安排醫師駐診隨時提供醫療諮詢
7. 近千家特約商店，並與鄰近幼稚園簽訂特約，提供優惠的托兒服務
8. 集團內部具備完整的績效獎金及晉升制度，有效地將績效與獎勵連結
",待遇面議,"['工業工程相關', '數理統計相關']",專科、大學、碩士,https://www.104.com.tw/job/6xuyl,0,0,0,0,0,0,0
2020/06/09,岱稜科技股份有限公司,產品管理師 PM,光電產業,台南市麻豆區,"1.收集印刷、經銷商市場訊息，分析趨勢並提出新產品設計構想
2.執行新產品開發專案之規劃、執行、設計及發展進度掌控、成本控制及結案程序
3.發展產品銷售計劃與推廣執行
4.全球展覽會規劃與行銷活動之進行，每年約2~3出差

【我們是誰？】
岱稜科技？你可能沒聽過…但是你一定親手摸過岱稜的產品！
我們是全球三大燙金箔品牌及製造商，產品主要銷往歐美等全球60幾個國家，舉凡在Johnny Walker、L'Oréal、Chanel、Disney、Unilever等日用品及精品等包裝中都看得見岱稜燙金箔產品的應用，自2003年以來每年營收穩定成長10-20%

【岱稜人有哪些員工福利?】
1. 提供免費單人套房宿舍
2. 除法定的員工勞健保外，公司全額支付員工團體保險保費(含壽險、住院醫療險等)，讓員工多一層保障
3. 定期舉辦員工家庭日、國外旅遊活動、藝文及康樂活動等員工休閒活動
4. 多元化的社團和紓壓空間：羽球、慢跑、瑜珈、拳擊有氧等社團活動、提供按摩服務，讓員工能釋放生活及工作上的壓力與疲勞
5. 健康管理：每年定期舉辦市值超過$4500的員工健檢，幫助同仁掌握個人健康狀況；並安排醫師駐診隨時提供醫療諮詢
6. 近千家特約商店，並與鄰近幼稚園簽訂特約，提供優惠的托兒服務
7.集團內部具備完整的績效獎金及晉升制度，有效地將績效與獎勵做有力連結
",待遇面議,"['工程學科類', '企業管理相關']",大學、碩士,https://www.104.com.tw/job/6u991,0,0,0,0,0,0,0
2020/06/09,岱稜科技股份有限公司,電機專案工程師（固定日班／碩士月薪5萬起）,光電產業,台南市麻豆區,"**歡迎豐富維修經驗的你、想要改善機台異常的你主動投遞履歷!**
1.設備、製程改善案規劃與執行
2.新設備、製程導入專案規劃與推動 
3.設備維護支援
4.技術文件撰寫與修訂
【我們是誰？】
岱稜科技？你可能沒聽過…但是你一定親手摸過岱稜的產品！
我們是全球三大燙金箔品牌及製造商，產品主要銷往歐美等全球60幾個國家，舉凡在Johnny Walker、L'Oréal、Chanel、Disney、Unilever等日用品及精品等包裝中都看得見岱稜燙金箔產品的應用，自2003年以來每年營收穩定成長10-20%

【你會在哪裡工作？】
台灣燙金箔研發及塗佈技術獨步全球，此職缺隸屬在廠務工程部，你能善用自己的設備、維修專業，努力為夥伴提供解決的方案，並持續優化品牌競爭力，與公司一同邁向智慧工廠

【身為岱稜人有哪些員工福利?】
1. 免費單人套房宿舍、中秋跟端午共1個月全薪獎金、年中、年終另計
2. 除法定的員工勞健保外，公司全額支付員工團體保險保費(含壽險、住院醫療險等)，讓員工多一層保障
3. 定期舉辦員工家庭日、國外旅遊活動、藝文及康樂活動等員工休閒活動
4. 多元化的社團和紓壓空間：羽球、慢跑、瑜珈、拳擊有氧等社團活動、提供按摩服務，讓員工能釋放生活及工作上的壓力與疲勞
5. 健康管理：每年定期舉辦市值超過$4500的員工健檢，幫助同仁掌握個人健康狀況；並安排醫師駐診隨時提供醫療諮詢
6. 近千家特約商店，並與鄰近幼稚園簽訂特約，提供優惠的托兒服務
7. 集團內部具備完整的績效獎金及晉升制度，有效地將績效與獎勵做有力連結
",待遇面議,"['電機電子工程相關', '電機電子維護相關']",大學、碩士,https://www.104.com.tw/job/6bt3n,0,0,0,0,0,0,0
2020/06/09,新加坡商立可人事顧問有限公司台灣分公司,AL－HR招募助理,人力仲介代徵,台北市信義區,"公司簡介：
新加坡商立可人事顧問公司 Recruit Express為新加坡最大招募顧問公司，隸屬於亞洲除日本地區最大招募集團HRnet Group旗下品牌。
• Facebook- www.facebook.com/recruitexpresstaiwan
• 企業官網- www.recruitexpress.com.tw

工作內容：
1. 履歷審核
2. 與求職者進行電話詳談
3. 邀約求職者進行面談, 介紹適合工作機會
4. 協助求職者與企業進行面試與前置準備

需求條件：
喜歡與人溝通、熱情活潑，熱愛挑戰。

【公司福利】

[立可內部員工福利]
實質回饋你的優秀表現，立可提供最具吸引力的薪酬福利制度，認同你的成功與認真！
-「師徒制」的養成教育、良好的主管培育以及升遷制度
- 每月個人績效獎金、每月團隊績效獎金、定期分紅制度
- 每季於五星級飯店舉行「工作坊」並頒發Star Awards予優秀同仁（Workshop & STAR Award）
- 定期與不定期部門聚餐（Dine and Wine）年度部門活動（Outing & Gathering）
- 特殊貢獻獎金（Special Management Bonus）
- 訓練補助與獎勵（Training Awards）
- 海外分公司參訪（Overseas Orientation）

[企業代徵員工]
獎金及福利制度將依照各要派公司及各職務內容而有所不同。
欲知詳細內容，請洽立可顧問。

","月薪26,000~35,000元",['不拘'],大學,https://www.104.com.tw/job/6vfff,0,0,0,0,0,0,0
